gender,age_group,institute_name,residential_area,percentage_10th,percentage_12th,cgpa,backlog,attended_nursery,reason_college,engineering_branch,reason_course,mother_education_status,mother_job_status,father_education_status,father_job_status,guardian,family_size,parental_relationship_status,family_relationship_quality,family_income,internet_access_home,transport_mode,travel_time,daily_study_time,extracurricular_courses,attended_workshops,community_service,communication_skills,leadership_skills,teamwork_skills,internships_completed,projects_completed,peer_group_quality,time_management,health_status,stress_frequency,stress_coping_mechanisms,hobbies_interests,friends_outing_frequency,romantic_relationship,family_motivation,paid_classes,placement_status,higher_education_interest,alcohol_consumption,smoking,other_addictions,internship_payment_status,PC1,PC2,PC3,PC4,PC5
1,2,166,0,292,347,241,0,1,1,100,3,4,2,4,4,1,1,1,1,2,1,2,1,0,1,1,1,3,3,3,0,1,3,2,1,3,0,267,3,0,2,0,46,0,0,0,0,64,0.18675715256886605,-1.2137060888118751,0.7850675487747617,-1.396130729663457,0.6738708588252486
1,2,23,0,280,157,231,0,0,1,90,3,3,2,4,2,0,1,1,5,2,1,3,3,2,0,1,1,2,2,2,0,1,1,2,1,2,0,52,3,0,2,0,46,1,0,0,0,64,-0.6447343558116988,0.21404419193594804,0.4666488050326492,-0.6446357061580835,0.5611631412151572
0,2,9,1,298,1,236,0,1,2,85,1,2,2,2,0,0,1,1,2,0,1,3,0,2,1,1,0,2,1,1,1,1,2,3,3,3,0,458,4,0,2,1,46,0,0,0,0,64,-0.6863715741523826,-1.5810698890795787,0.8890497548599389,-0.862644103952168,-0.10136281513371988
0,2,52,1,305,218,245,0,1,1,100,3,2,2,4,3,2,1,1,2,0,1,3,0,0,1,1,0,3,4,1,0,1,1,3,2,3,1,449,3,0,2,0,46,0,0,0,0,64,-0.06415042586816816,-2.9401449858503375,1.0055923921610788,-2.156589085391476,-0.40943845484260055
0,2,98,1,226,431,227,0,1,3,90,3,2,4,2,0,0,1,1,1,0,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,431,5,0,2,0,46,1,0,0,0,64,-4.024375903531025,-2.3304524061023266,0.7696560713433555,-0.32727452704423476,1.0464539722412287
1,2,50,1,281,405,198,0,0,1,90,3,3,2,0,0,1,1,1,4,2,0,3,0,2,1,1,0,3,5,4,0,1,4,4,2,4,1,209,3,0,0,0,47,1,0,0,0,64,3.561153780130501,-0.5985181940778697,0.7000677797364302,-2.359142587995344,1.736394884343359
1,2,61,1,251,191,185,0,1,3,91,3,4,2,4,1,1,0,1,1,2,1,3,1,0,1,1,1,2,3,1,0,0,1,2,1,2,1,739,1,0,2,1,46,1,0,0,0,64,-1.8515538020372826,-2.181719531887614,0.3718468836972512,-0.8183345500399323,-1.0897809572567823
1,2,142,1,137,137,116,0,1,1,90,3,4,2,4,1,1,0,1,1,0,1,3,3,0,1,1,1,2,3,1,0,0,2,2,2,3,1,249,4,0,2,0,46,1,0,0,0,64,-0.7729624336267921,-1.9691490551597275,-0.7877720390530051,-0.12165020031282771,-1.667381606608895
0,2,13,1,228,292,209,0,1,1,89,3,4,2,4,1,1,0,1,4,2,1,3,3,1,1,1,1,2,3,3,1,1,3,4,4,4,1,327,5,0,2,0,13,1,0,0,0,64,1.5041687207076737,-3.4649355119617518,-0.006502899154249721,-1.210272317271862,0.6753521211439258
1,2,91,1,283,294,215,0,1,3,90,3,2,4,4,3,1,0,1,1,3,1,3,1,2,1,1,1,2,2,1,0,0,2,2,2,2,1,805,4,0,1,0,46,0,0,0,0,64,-1.3431462860767032,-2.289376536759842,0.9533953617563921,-0.6731778763247761,-0.5842462474109673
0,2,87,1,240,57,215,0,1,0,86,0,2,4,2,1,2,0,1,2,0,1,2,1,0,1,1,1,3,3,2,0,1,1,3,3,4,0,784,5,0,1,0,46,1,0,0,0,64,0.5354793079051736,-1.7059141252717356,-0.384650146186659,-2.082439916022908,-1.1710541846939568
